code,term
286967008,GNH0015_AcuteAppendicitis
698294004,GNH0015_AcuteAppendicitis
4981000,GNH0017_COPD
8743301,GNH0017_COPD
13645005,GNH0017_COPD
16003001,GNH0017_COPD
40100001,GNH0017_COPD
45145000,GNH0017_COPD
52571006,GNH0017_COPD
61937009,GNH0017_COPD
63480004,GNH0017_COPD
68328006,GNH0017_COPD
74417001,GNH0017_COPD
77690003,GNH0017_COPD
84409004,GNH0017_COPD
87433001,GNH0017_COPD
89549007,GNH0017_COPD
135836000,GNH0017_COPD
170628003,GNH0017_COPD
185086009,GNH0017_COPD
195949008,GNH0017_COPD
195951007,GNH0017_COPD
195953005,GNH0017_COPD
195957006,GNH0017_COPD
195958001,GNH0017_COPD
195959009,GNH0017_COPD
195963002,GNH0017_COPD
196001008,GNH0017_COPD
196026004,GNH0017_COPD
196027008,GNH0017_COPD
266355005,GNH0017_COPD
266356006,GNH0017_COPD
270473001,GNH0017_COPD
313296004,GNH0017_COPD
313297008,GNH0017_COPD
313299006,GNH0017_COPD
390891009,GNH0017_COPD
390941006,GNH0017_COPD
394702007,GNH0017_COPD
394703002,GNH0017_COPD
401184000,GNH0017_COPD
401185004,GNH0017_COPD
413845009,GNH0017_COPD
414087000,GNH0017_COPD
716358000,GNH0017_COPD
723245007,GNH0017_COPD
736283006,GNH0017_COPD
741056003,GNH0017_COPD
1.98401E+14,GNH0017_COPD
1.98411E+14,GNH0017_COPD
1.98901E+14,GNH0017_COPD
2.93991E+14,GNH0017_COPD
3.83611E+14,GNH0017_COPD
7.13731E+14,GNH0017_COPD
7.16241E+14,GNH0017_COPD
7.16281E+14,GNH0017_COPD
7.16901E+14,GNH0017_COPD
7.17021E+14,GNH0017_COPD
7.17521E+14,GNH0017_COPD
7.60601E+14,GNH0017_COPD
7.60621E+14,GNH0017_COPD
8.26111E+14,GNH0017_COPD
8.48431E+14,GNH0017_COPD
8.57661E+14,GNH0017_COPD
8.66901E+14,GNH0017_COPD
1.82385E+15,GNH0017_COPD
1.06928E+16,GNH0017_COPD
59621000,GNH0018_EssentialHypertension
81232004,GNH0032_ProstateCancer
176106009,GNH0032_ProstateCancer
176261008,GNH0032_ProstateCancer
176262001,GNH0032_ProstateCancer
176263006,GNH0032_ProstateCancer
176263006,GNH0032_ProstateCancer
369775001,GNH0032_ProstateCancer
369777009,GNH0032_ProstateCancer
385377005,GNH0032_ProstateCancer
394932008,GNH0032_ProstateCancer
399068003,GNH0032_ProstateCancer
428262008,GNH0032_ProstateCancer
428262008,GNH0032_ProstateCancer
5958006,GNH0033_LungCancer_OpenSafelyCodelist
21326004,GNH0033_LungCancer_OpenSafelyCodelist
36310008,GNH0033_LungCancer_OpenSafelyCodelist
43149009,GNH0033_LungCancer_OpenSafelyCodelist
74042001,GNH0033_LungCancer_OpenSafelyCodelist
76817009,GNH0033_LungCancer_OpenSafelyCodelist
93659005,GNH0033_LungCancer_OpenSafelyCodelist
93662008,GNH0033_LungCancer_OpenSafelyCodelist
93670003,GNH0033_LungCancer_OpenSafelyCodelist
93674007,GNH0033_LungCancer_OpenSafelyCodelist
93687001,GNH0033_LungCancer_OpenSafelyCodelist
93729006,GNH0033_LungCancer_OpenSafelyCodelist
93730001,GNH0033_LungCancer_OpenSafelyCodelist
93731002,GNH0033_LungCancer_OpenSafelyCodelist
93732009,GNH0033_LungCancer_OpenSafelyCodelist
93733004,GNH0033_LungCancer_OpenSafelyCodelist
93734005,GNH0033_LungCancer_OpenSafelyCodelist
93739000,GNH0033_LungCancer_OpenSafelyCodelist
93772000,GNH0033_LungCancer_OpenSafelyCodelist
93784003,GNH0033_LungCancer_OpenSafelyCodelist
93787005,GNH0033_LungCancer_OpenSafelyCodelist
93808006,GNH0033_LungCancer_OpenSafelyCodelist
93816002,GNH0033_LungCancer_OpenSafelyCodelist
93827000,GNH0033_LungCancer_OpenSafelyCodelist
93829002,GNH0033_LungCancer_OpenSafelyCodelist
93830007,GNH0033_LungCancer_OpenSafelyCodelist
93831006,GNH0033_LungCancer_OpenSafelyCodelist
93848003,GNH0033_LungCancer_OpenSafelyCodelist
93857009,GNH0033_LungCancer_OpenSafelyCodelist
93858004,GNH0033_LungCancer_OpenSafelyCodelist
93861003,GNH0033_LungCancer_OpenSafelyCodelist
93862005,GNH0033_LungCancer_OpenSafelyCodelist
93864006,GNH0033_LungCancer_OpenSafelyCodelist
93865007,GNH0033_LungCancer_OpenSafelyCodelist
93868009,GNH0033_LungCancer_OpenSafelyCodelist
93880001,GNH0033_LungCancer_OpenSafelyCodelist
93882009,GNH0033_LungCancer_OpenSafelyCodelist
93889000,GNH0033_LungCancer_OpenSafelyCodelist
93917007,GNH0033_LungCancer_OpenSafelyCodelist
93918002,GNH0033_LungCancer_OpenSafelyCodelist
93933005,GNH0033_LungCancer_OpenSafelyCodelist
93948004,GNH0033_LungCancer_OpenSafelyCodelist
93961004,GNH0033_LungCancer_OpenSafelyCodelist
93966009,GNH0033_LungCancer_OpenSafelyCodelist
93967000,GNH0033_LungCancer_OpenSafelyCodelist
93968005,GNH0033_LungCancer_OpenSafelyCodelist
93970001,GNH0033_LungCancer_OpenSafelyCodelist
93971002,GNH0033_LungCancer_OpenSafelyCodelist
93978008,GNH0033_LungCancer_OpenSafelyCodelist
93986008,GNH0033_LungCancer_OpenSafelyCodelist
